# aws_region,country_code,region_code,city,postal
af-south-1-jnb-1,ZA,ZA-GT,Johannesburg,
af-south-1-los-1,NG,NG-LA,Lagos,
af-south-1-nbo-1,KE,KE-30,Nairobi,
af-south-1,ZA,ZA-WC,Cape Town,
ap-east-1,HK,CN-HK,Hong Kong,
ap-northeast-1,JP,JP-13,Tokyo,
ap-northeast-1-tpe-1,TW,TW-TPE,Taipei,
ap-northeast-1-wl1-kix-wlz-1,JP,JP-13,Osaka,
ap-northeast-1-wl1-nrt-wlz-1,JP,JP-13,Tokyo,
ap-northeast-2,KR,KR-11,Seoul,
ap-northeast-2-wl1-cjj-wlz-1,KR,KR-30,Daejeon,
ap-northeast-2-wl1-sel-wlz-1,KR,KR-11,Seoul,
ap-northeast-3,JP,JP-13,Osaka,
ap-south-1-ccu-1,IN,IN-WB,Kolkata,
ap-south-1-ccu-2,IN,IN-MH,Mumbai,400072
ap-south-1-del-1,IN,IN-DL,Delhi,
ap-south-1-del-2,IN,IN-MH,Mumbai,400072
ap-south-1,IN,IN-MH,Mumbai,
ap-south-2-blr-1,IN,IN-KA,Bengaluru,
ap-south-2,IN,IN-TG,Hyderabad,
ap-south-2-maa-1,IN,IN-TN,Chennai,
ap-southeast-1-bkk-1,TH,TH-10,Bangkok,
ap-southeast-1-han-1,VN,VN-HN,Hanoi,
ap-southeast-1-mnl-1,PH,PH-00,Manila,
ap-southeast-1-sggov-sin-1a,SG,SG-01,Singapore,
ap-southeast-1-sggov-sin-1b,SG,SG-01,Singapore,
ap-southeast-1,SG,SG-01,Singapore,
ap-southeast-2-akl-1,NZ,NZ-AUK,Auckland,
ap-southeast-2,AU,AU-NSW,Sydney,
ap-southeast-2-bne-1,AU,AU-QLD,Brisbane,
ap-southeast-2-per-1,AU,AU-WA,Perth,
ap-southeast-3,ID,ID-JK,Jakarta,
ap-southeast-4,AU,AU-VIC,Melbourne,
ap-southeast-6,NZ,NZ-AUK,Auckland,
ca-central-1,CA,CA-QC,Montreal,
ca-central-1-wl1-yto-wlz-1,CA,CA-ON,Toronto,
ca-central-1-yto-1,CA,CA-ON,Toronto,
ca-central-1-yvr-1,CA,CA-BC,Vancouver,
ca-west-1,CA,CA-AB,Calgary,
cn-north-1,CN,CN-11,Beijing,
cn-northwest-1,CN,CN-64,Ningxia,
eu-central-1-ams-1,NL,NL-NH,Amsterdam,
eu-central-1-ber-1,DE,DE-BE,Berlin,
eu-central-1,DE,DE-HE,Frankfurt,
eu-central-1-ham-1,DE,DE-HH,Hamburg,
eu-central-1-muc-1,DE,DE-BY,Munich,
eu-central-1-prg-1,CZ,CZ-10,Prague,
eu-central-1-vie-1,AT,AT-9,Vienna,
eu-central-1-waw-1,PL,PL-MZ,Warsaw,
eu-central-1-wl1-ber-wlz-1,DE,DE-BE,Berlin,
eu-central-1-wl1-dtm-wlz-1,DE,DE-NW,Dortmund,
eu-central-1-wl1-muc-wlz-1,DE,DE-BY,Munich,
eu-central-2,CH,CH-ZH,Zurich,
eu-north-1-cph-1,DK,DK-84,Copenhagen,
eu-north-1-hel-1,FI,FI-18,Helsinki,
eu-north-1-osl-1,NO,NO-03,Oslo,
eu-north-1,SE,SE-AB,Stockholm,
eu-south-1-ath-1,GR,GR-I,Athens,
eu-south-1,IT,IT-25,Milan,
eu-south-2,ES,ES-MD,Madrid,
eu-south-2-lis-1,PT,PT-11,Lisbon,
